max_depth_c,n_est_c,max_depth_r,n_est_r,test_acc_1,test_acc_2,test_acc_3,test_f1_1,test_f1_2,test_f1_3,test_r2_1,test_r2_2,test_r2_3,overall_r2_1,overall_r2_2,overall_r2_3
15,200,30,200,0.8100493269793495,0.8103001421285846,0.8076247805367445,0.880130843093806,0.8796988494777583,0.8781637191570476,0.13502096756397197,0.35464767084375326,0.32332432459501537,0.1315423414082827,0.3195364276652851,0.3576031958882713
15,200,,100,0.8092968815316445,0.809840314354987,0.807248557812892,0.8796623582168294,0.8794998807978598,0.8779286792153126,0.11425601525496587,0.36229821393615513,0.34415972690359886,0.1181336497463168,0.30226628823661106,0.3726205616603825
15,200,,150,0.8095894992057521,0.8115124153498872,0.8080846083103419,0.8799451780395878,0.8804454461089751,0.8785867294316769,0.16524165136571656,0.3619532729774104,0.31170865861953356,0.14483609821372634,0.3119377658614584,0.3566320580910577
15,200,,200,0.8097149067803695,0.8109689825265446,0.807917398210852,0.8800400569229959,0.8801674793300827,0.8784230718348988,0.13554510822005272,0.35790497195479176,0.3135523260417601,0.1130221751132251,0.3855381192125651,0.34505795697115527
30,100,15,100,0.8118886380737397,0.8105927598026921,0.808001003260597,0.8802936795062779,0.8788146246222152,0.8776733161104748,-0.014336951045447188,0.3307085430250226,0.30700355786700584,-0.04365725732261838,0.301705069473448,0.350982569304054
30,100,15,150,0.809087868907282,0.8105927598026921,0.8072903603377644,0.8785469244475175,0.8789376653218266,0.8770928868508051,0.10421706443760892,0.3393208175703455,0.3118708847105254,0.2388298394837386,0.3009638000406426,0.3636209798866543
30,100,15,200,0.810509154752947,0.8082936209347045,0.8073739653875094,0.8795408041242592,0.8774321146033782,0.8770544290288154,0.061990994236130414,0.3524085829674679,0.30799226856629536,0.02685060253824323,0.3069589235193244,0.3530350498789758
30,100,30,100,0.8100493269793495,0.8091296714321545,0.8087116461834295,0.8790846194784461,0.8780448717948717,0.8778495542149378,0.12052862448087209,0.361566774280891,0.3174305848546256,0.453097235316807,0.3894751953915523,0.36639286948308536
30,100,30,150,0.8107181673773096,0.8104673522280745,0.808335423459577,0.8796960518624793,0.8788931032640632,0.8777561521849255,0.18190943210481225,0.36329724133147334,0.31890028810245796,0.16531196774839774,0.3141011877487052,0.35118949159337676
30,100,30,200,0.8113034027255246,0.8109271800016721,0.8084608310341944,0.8800042532830028,0.8790544696098617,0.8777742210840802,0.13347804537918795,0.354071750090001,0.3277023533130955,0.4670039097866867,0.30940623917061916,0.34183363656318855
30,100,,100,0.8103837471783296,0.8112616002006521,0.809087868907282,0.8794578793515812,0.879249017143163,0.8782295693907479,0.19769163701460202,0.3555551051997694,0.30449534219751717,0.3293647400194575,0.3235969841531915,0.35047963150221995
30,100,,150,0.8082100158849594,0.8097985118301145,0.808419028509322,0.8780695226958648,0.8783942698310884,0.8777508069033583,0.1286298423162715,0.34677566987030994,0.30624293186153073,0.112074504259697,0.389451780357984,0.36136197050536545
30,100,,200,0.808669843658557,0.8099239194047321,0.8087116461834295,0.8783004068175171,0.8783931962236903,0.8778886694775044,0.10380794917561476,0.3529240844508794,0.313903427935176,0.2609818433162018,0.31399943890866633,0.37594072715594073
30,150,15,100,0.8094640916311345,0.8123902683722097,0.809673104255497,0.8789118537803517,0.8803327645051194,0.8788354578598611,0.13285237394953697,0.3680902716704544,0.3085030118574851,0.28943503143217253,0.3163866569329069,0.364110698508357
